Name,Score,Avg,Type,Is_Live,Featured,Top_Ticker_Text,Bottom_Ticker_Text,Featured_TItle,Featured_Subtitle,Real_Data,Target,AI_Score,AI_Status,Price,Data_Stream
PJ Washington,79.3,14.1,pts,FALSE,FALSE,,,,,,,,,,
PJ Washington,81.7,7.1,reb,FALSE,FALSE,,,,,,,,,,
PJ Washington,68.5,1.9,ast,FALSE,FALSE,,,,,,,,,,
Luka Doncic,88.1,32.2,pts,FALSE,FALSE,,,,,,,,,,
Luka Doncic,80,7.7,reb,FALSE,FALSE,,,,,,,,,,
Luka Doncic,84.2,8.6,ast,FALSE,FALSE,,,,,,,,,,
Jackson Hayes,,,PTS,FALSE,FALSE,,,,,,,,,,
Jackson Hayes,,,REB,FALSE,FALSE,,,,,,,,,,
Jackson Hayes,,,AST,FALSE,FALSE,,,,,,,,,,
Lebron James,86.4,22,pts,FALSE,FALSE,,,,,,,,,,
Lebron James,76.6,5.5,reb,FALSE,FALSE,,,,,,,,,,
Lebron James,,,ast,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
Kevin Durant,88,26.1,pts,TRUE,TRUE,,,,pts (Avg. 26.1) 88.0%,"23, 37, 19, 31, 26, 21, 11, 24, 31, 23, 30, 35, 20, 13, 25, 32, 24, 28, 27, 16, 25, 32, 31, 24, 22, 25, 30, 30, 22, 34, 26, 37, 30, 23, 28, 19, 39, 18, 18, 36, 32, 33, 24, 31, 13, 15, 31, 20, 26, 21",25.5,,,,
Kevin Durant,79.3,5.5,reb,FALSE,FALSE,,,,,,,,,,
Kevin Durant,76.6,4.8,ast,FALSE,FALSE,,,,,,,,,,
Alperen Sengun,82.3,20.4,pts,FALSE,FALSE,,,,,,,,,,
Alperen Sengun,82.4,9.5,reb,TRUE,FALSE,,Alperen Sengun (reb): 82.4%,,,,,,,,
Alperen Sengun,80.8,6.1,ast,FALSE,FALSE,,,,,,,,,,
LaMelo Ball,83.4,18.6,PTS,TRUE,FALSE,LaMelo Ball (PTS): 83.4%,,,,,,,,,
LaMelo Ball,77,4.4,REB,FALSE,FALSE,,,,,,,,,,
LaMelo Ball,82.5,7,AST,FALSE,FALSE,,,,,,,,,,
Moussa Diabaté,75.3,7.8,PTS,TRUE,FALSE,Moussa Diabaté (PTS): 75.3%,,,,,,,,,
Moussa Diabaté,80,9.1,REB,FALSE,FALSE,,,,,,,,,,
Moussa Diabaté,66.8,1.8,AST,TRUE,FALSE,,Moussa Diabaté (AST): 66.8%,,,,,,,,
Michael Porter Jr,85.9,25.3,PTS,FALSE,FALSE,,,,,,,,,,
Michael Porter Jr,81.7,7.3,REB,FALSE,FALSE,,,,,,,,,,
Michael Porter Jr,76.2,3.1,AST,FALSE,FALSE,,,,,,,,,,
Nic Claxton,82.6,12,PTS,TRUE,FALSE,Nic Claxton (PTS): 82.6%,,,,,,,,,
Nic Claxton,82.6,7.4,REB,FALSE,FALSE,,,,,,,,,,
Nic Claxton,71.4,4.1,AST,FALSE,FALSE,,,,,,,,,,
Donovan Mitchell,85.3,28.6,pts,FALSE,FALSE,,,,,,,,,,
Donovan Mitchell,76,4.6,reb,FALSE,FALSE,,,,,,,,,,
Donovan Mitchell,82.6,6,ast,TRUE,FALSE,,Donovan Mitchell (ast): 82.6%,,,,,,,,
Evan Mobley,86,17.9,pts,FALSE,FALSE,,,,,,,,,,
Evan Mobley,83.9,8.8,REB,FALSE,FALSE,,,,,,,,,,
Evan Mobley,80.1,4,AST,FALSE,FALSE,,,,,,,,,,
Dyson Daniels,81.2,12.6,PTS,TRUE,FALSE,,Dyson Daniels (PTS): 81.2%,,,,,,,,
Dyson Daniels,84.9,6.7,REB,FALSE,FALSE,,,,,,,,,,
Dyson Daniels,81,6.5,AST,FALSE,FALSE,,,,,,,,,,
Jalen Johnson,84.2,24,pts,FALSE,FALSE,,,,,,,,,,
Jalen Johnson,86.2,11,reb,TRUE,FALSE,Jalen Johnson (reb): 86.2%,,,,,,,,,
Jalen Johnson,85.4,8.9,ast,FALSE,FALSE,,,,,,,,,,
Tyrese Maxey,84.4,28,PTS,FALSE,FALSE,,,,,,,,,,
Tyrese Maxey,74.7,3.8,REB,FALSE,FALSE,,,,,,,,,,
Tyrese Maxey,80.2,6.4,AST,FALSE,FALSE,,,,,,,,,,
Joel Embiid,86,26.3,PTS,TRUE,FALSE,Joel Embiid (PTS): 86%,,,,,,,,,
Joel Embiid,82,8,REB,FALSE,FALSE,,,,,,,,,,
Joel Embiid,76.9,4.2,AST,FALSE,FALSE,,,,,,,,,,
Pascal Siakam,87.9,23.7,PTS,TRUE,FALSE,,Pascal Siakam (PTS): 87.9%,,,,,,,,
Pascal Siakam,82.8,6.5,REB,FALSE,FALSE,,,,,,,,,,
Pascal Siakam,78.8,3.6,AST,FALSE,FALSE,,,,,,,,,,
Andrew Nembhard,82.3,17.7,PTS,FALSE,FALSE,,,,,,,,,,
Andrew Nembhard,75.2,3,REB,FALSE,FALSE,,,,,,,,,,
Andrew Nembhard,78.6,6.3,AST,FALSE,FALSE,,,,,,,,,,
Jay Huff,73.7,9.5,PTS,FALSE,FALSE,,,,,,,,,,
Jay Huff,74.3,4.1,REB,FALSE,FALSE,,,,,,,,,,
Jay Huff,68.4,1.4,AST,FALSE,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,TRUE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
,,,,FALSE,FALSE,,,,,,,,,,
Alex Sarr,81.9,17.4,PTS,TRUE,FALSE,,Alex Sarr (PTS): 81.9%,,,,,,,,
Alex Sarr,77.7,7.7,REB,TRUE,TRUE,,,,REB (Avg. 7.7) 77.7%,"4, 3, 4, 6, 4, 12, 4, 3, 8, 11, 9, 4, 11, 8, 8, 8, 8, 4, 6, 15, 11, 3, 11, 11, 9, 4, 11, 11, 3, 9, 2, 11, 5, 3, 7, 7, 1, 15, 1, 4, 8, 6, 8, 4, 12, 17, 6, 9, 6, 12",7.5,,,,
Alex Sarr,75.1,2.8,AST,FALSE,FALSE,,,,,,,,,,
Kyshawn George,79.7,14.7,PTS,FALSE,FALSE,,,,,,,,,,
Kyshawn George,76.6,5.2,REB,FALSE,FALSE,,,,,,,,,,
Kyshawn George,80.4,4.9,AST,TRUE,FALSE,Kyshawn George (AST): 80.4%,,,,,,,,,
Jalen Brunson,84.2,26.9,pts,TRUE,TRUE,,,,pts (Avg. 26.9) 84.2%,"23, 31, 37, 36, 29, 31, 16, 23, 19, 32, 31, 28, 33, 27, 33, 37, 18, 15, 26, 33, 30, 35, 40, 25, 22, 47, 34, 34, 28, 29, 24, 31, 25, 26, 27, 26, 4, 22, 20, 31, 28, 13, 26, 12, 21, 42, 12, 31, 40, 8",26.5,,,,
Jalen Brunson,74.8,3.3,reb,FALSE,FALSE,,,,,,,,,,
Jalen Brunson,79,6,ast,FALSE,FALSE,,,,,,,,,,
KAT,79.6,19.7,PTS,TRUE,FALSE,,KAT (PTS): 79.6%,,,,,,,,
KAT,82.8,11.7,REB,FALSE,FALSE,,,,,,,,,,
KAT,76,2.8,AST,FALSE,FALSE,,,,,,,,,,
Cade Cunningham,85.5,25.7,PTS,TRUE,FALSE,Cade Cunningham (PTS): 85.5%,,,,,,,,,
Cade Cunningham,76.8,5.7,REB,FALSE,FALSE,,,,,,,,,,
Cade Cunningham,87.7,9.6,AST,TRUE,TRUE,,,,AST (Avg. 9.6) 87.7%,"5, 8, 12, 10, 9, 8, 4, 10, 18, 8, 10, 10, 11, 11, 10, 10, 6, 5, 11, 8, 8, 7, 9, 12, 6, 10, 9, 10, 9, 14, 17, 9, 11, 11, 7, 13, 11, 5, 14, 8, 11, 11, 7, 11, 12, 10, 8, 7, 7, 9",9.5,,,,
Jalen Duren,84.7,18.1,PTS,FALSE,FALSE,,,,,,,,,,
Jalen Duren,81.5,10.5,REB,TRUE,FALSE,Jalen Duren (REB): 81.5%,,,,,,,,,
Jalen Duren,69,1.8,AST,FALSE,FALSE,,,,,,,,,,
Josh Giddey,84.3,18.4,PTS,FALSE,FALSE,,,,,,,,,,
Josh Giddey,82.5,9,REB,TRUE,FALSE,Josh Giddey (REB): 82.5%,,,,,,,,,
Josh Giddey,83.5,8.9,AST,FALSE,FALSE,,,,,,,,,,
Matas Buzelis,83.2,15.6,PTS,FALSE,FALSE,,,,,,,,,,
Matas Buzelis,77.2,5.3,REB,FALSE,FALSE,,,,,,,,,,
Matas Buzelis,71,2.3,AST,TRUE,FALSE,,Matas Buzelis (AST): 71%,,,,,,,,
Scottie Barnes,86.3,19.3,PTS,TRUE,FALSE,,Scottie Barnes (PTS): 86.3%,,,,,,,,
Scottie Barnes,80.5,8.7,REB,FALSE,FALSE,,,,,,,,,,
Scottie Barnes,78.1,5.7,AST,FALSE,FALSE,,,,,,,,,,
Brandon Ingram,84.7,22.3,PTS,TRUE,FALSE,Brandon Ingram (PTS): 84.7%,,,,,,,,,
Brandon Ingram,80.3,5.7,REB,FALSE,FALSE,,,,,,,,,,
Brandon Ingram,76.9,3.6,AST,FALSE,FALSE,,,,,,,,,,
Devin Booker,87.8,25.1,pts,FALSE,FALSE,,,,,,,,,,
Devin Booker,73.9,4,reb,TRUE,TRUE,,,,reb (Avg. 4.0) 73.9%,"3, 3, 5, 4, 3, 6, 3, 5, 3, 3, 5, 4, 6, 2, 3, 6, 10, 0, 3, 5, 2, 6, 3, 5, 3, 7, 8, 4, 2, 6, 2, 1, 2, 9, 3, 6, 2, 2, 6, 0, 1, 3, 3, 9, 4, 4, 3, 4, 2, 4",3.5,,,,
Devin Booker,81.4,6.3,ast,FALSE,FALSE,,,,,,,,,,
Mark Williams,77.5,12.2,pts,FALSE,FALSE,,,,,,,,,,
Mark Williams,81.2,7.8,reb,FALSE,FALSE,,,,,,,,,,
Mark Williams,64,1.1,ast,FALSE,FALSE,,,,,,,,,,
Victor Wembanyama,85,24.4,pts,TRUE,FALSE,Victor Wembanyama (pts): 85%,,,,,,,,,
Victor Wembanyama,85.7,11.1,reb,TRUE,FALSE,,Victor Wembanyama (reb): 85.7%,,,,,,,,
Victor Wembanyama,71.8,2.8,ast,FALSE,FALSE,,,,,,,,,,
Stephon Castle,80.6,16.4,pts,FALSE,FALSE,,,,,,,,,,
Stephon Castle,75.6,5,reb,FALSE,FALSE,,,,,,,,,,
Stephon Castle,83.3,7.2,ast,TRUE,FALSE,Stephon Castle (ast): 83.3%,,,,,,,,,
Jaylen Brown,89.3,30.18,PTS,TRUE,TRUE,,,,PTS (Avg. 30.2) 89.3%,"6, 25, 23, 41, 15, 30, 32, 12, 36, 35, 32, 27, 24, 19, 33, 29, 26, 35, 33, 41, 19, 42, 30, 30, 30, 34, 30, 31, 30, 37, 23, 29, 50, 14, 33, 25, 27, 27, 41, 32, 30, 27, 33, 20, 21, 30, 33, 29, 26, 24",30.5,,,,
Jaylen Brown,83.2,7.4,REB,FALSE,FALSE,,,,,,,,,,
Jaylen Brown,76.19,4.8,AST,TRUE,FALSE,,Jaylen Brown (AST): 76.19%,,,,,,,,
Derrick white,80.8,17.9,PTS,FALSE,FALSE,,,,,,,,,,
Derrick white,79.6,4.6,REB,FALSE,FALSE,,,,,,,,,,
Derrick white,82.6,5.7,AST,TRUE,FALSE,Derrick white (AST): 82.6%,,,,,,,,,
Draymond Green,74.2,8.6,PTS,FALSE,FALSE,,,,,,,,,,
Draymond Green,80.9,5.8,REB,TRUE,FALSE,,Draymond Green (REB): 80.9%,,,,,,,,
Draymond Green,74.5,4.9,AST,FALSE,FALSE,,,,,,,,,,
Steph Curry,82.8,27.4,pts,FALSE,FALSE,,,,,,,,,,
Steph Curry,73.9,3.5,REB,TRUE,FALSE,Steph Curry (REB): 73.9%,,,,,,,,,
Steph Curry,76.5,4.9,ast,FALSE,FALSE,,,,,,,,,,
Paolo Banchero,84.5,21.4,pts,FALSE,FALSE,,,,,,,,,,
Paolo Banchero,81.8,8.4,reb,FALSE,FALSE,,,,,,,,,,
Paolo Banchero,79,5.1,ast,FALSE,FALSE,,,,,,,,,,
Anthony Black,81.3,17.9,PTS,TRUE,FALSE,Anthony Black (PTS): 81.3%,,,,,,,,,
Anthony Black,76.8,4.4,REB,FALSE,FALSE,,,,,,,,,,
Anthony Black,83,4.6,AST,FALSE,FALSE,,,,,,,,,,
Russel Westbrook,82.5,15.5,pts,TRUE,FALSE,,Russel Westbrook (pts): 82.5%,,,,,,,,
Russel Westbrook,75.3,5.6,reb,FALSE,FALSE,,,,,,,,,,
Russel Westbrook,79.1,6.8,ast,FALSE,FALSE,,,,,,,,,,
Domantas Sabonis,,,PTS,FALSE,FALSE,,,,,,,,,,
Domantas Sabonis,,,REB,FALSE,FALSE,,,,,,,,,,
Domantas Sabonis,,,AST,FALSE,FALSE,,,,,,,,,,
Nikola Jokic,84.6,29.4,PTS,TRUE,FALSE,,Nikola Jokic (PTS): 84.6%,,,,,,,,
Nikola Jokic,85.6,12.2,REB,TRUE,FALSE,Nikola Jokic (REB): 85.6%,,,,,,,,,
Nikola Jokic,85.8,10.6,AST,FALSE,FALSE,,,,,,,,,,
Jamal Murray,84.8,26.7,pts,TRUE,TRUE,,,,pts (Avg. 26.7) 84.8%,"25, 23, 43, 17, 22, 15, 14, 23, 23, 15, 23, 34, 16, 26, 23, 29, 37, 24, 10, 52, 23, 34, 11, 35, 32, 16, 27, 31, 35, 24, 20, 21, 34, 27, 22, 35, 33, 42, 16, 28, 24, 24, 27, 20, 12, 32, 39, 28, 17, 23",27.5,,,,
Jamal Murray,76.5,4.2,reb,FALSE,FALSE,,,,,,,,,,
Jamal Murray,80.5,8.1,ast,FALSE,FALSE,,,,,,,,,,
Kawhi Leonard,87,28,PTS,TRUE,TRUE,,,,PTS (Avg. 28.0) 87.0%,"27, 31, 21, 28, 20, 29, 22, 28, 33, 10, 27, 30, 18, 34, 27, 20, 19, 39, 30, 36, 21, 24, 20, 24, 21, 22, 32, 41, 28, 55, 33, 45, 22, 24, 25, 26, 26, 35, 33, 24, 28, 21, 21, 25, 29, 25, 31, 41, 24, 27",29.5,,,,
Kawhi Leonard,81.4,6.5,REB,TRUE,FALSE,Kawhi Leonard (REB): 81.4%,,,,,,,,,
Kawhi Leonard,81,3.7,AST,FALSE,FALSE,,,,,,,,,,
Brook Lopez,65,6.8,PTS,FALSE,FALSE,,,,,,,,,,
Brook Lopez,65.8,2.6,REB,FALSE,FALSE,,,,,,,,,,
Brook Lopez,57.6,1.1,AST,TRUE,FALSE,,Brook Lopez (AST): 57.6%,,,,,,,,
