Player,Stat_Type,Games_Analyzed,Average_Value,Predictability_Score,Stability_Rating,Last_5_Values,Data_Source
Jimmy Butler,AST,30,5.93,81.55,High,"[3, 3, 7, 7, 9]",Predictability API Engine
Jimmy Butler,REB,30,5.5,77.26,High,"[5, 2, 4, 5, 1]",Predictability API Engine
Bam Adebayo,PTS,30,20.77,84.43,High,"[21, 26, 31, 18, 23]",Predictability API Engine
Bam Adebayo,AST,30,3.9,75.55,High,"[6, 5, 5, 3, 4]",Predictability API Engine
Bam Adebayo,REB,30,8.97,83.81,High,"[5, 7, 12, 6, 12]",Predictability API Engine
Domantas Sabonis,PTS,30,16.7,82.28,High,"[27, 19, 13, 19, 20]",Predictability API Engine
Domantas Sabonis,AST,30,5.83,75.42,High,"[7, 10, 2, 5, 6]",Predictability API Engine
Domantas Sabonis,REB,30,13.33,81.66,High,"[9, 15, 12, 16, 12]",Predictability API Engine
Kyrie Irving,PTS,30,25.1,82.49,High,"[17, 35, 25, 31, 7]",Predictability API Engine
Kyrie Irving,AST,30,4.1,78.3,High,"[4, 4, 5, 3, 1]",Predictability API Engine
Kyrie Irving,REB,30,4.73,78.4,High,"[5, 7, 9, 5, 1]",Predictability API Engine
Zion Williamson,PTS,30,24.57,86.39,Elite,"[20, 22, 20, 30, 29]",Predictability API Engine
Zion Williamson,AST,30,5.3,77.2,High,"[3, 12, 5, 3, 8]",Predictability API Engine
Zion Williamson,REB,30,7.2,81.93,High,"[2, 10, 8, 6, 5]",Predictability API Engine
Ja Morant,PTS,30,24.5,85.16,Elite,"[36, 30, 28, 36, 21]",Predictability API Engine
Ja Morant,AST,30,6.87,81.77,High,"[6, 3, 8, 6, 6]",Predictability API Engine
Ja Morant,REB,30,3.9,78.2,High,"[3, 5, 5, 1, 2]",Predictability API Engine
Victor Wembanyama,PTS,30,24.73,85.25,Elite,"[24, 16, 18, 31, 17]",Predictability API Engine
Victor Wembanyama,AST,30,3.93,76.9,High,"[2, 3, 4, 4, 4]",Predictability API Engine
Victor Wembanyama,REB,30,11.53,85.17,Elite,"[12, 11, 9, 15, 13]",Predictability API Engine
Paolo Banchero,PTS,30,27.53,87.33,Elite,"[26, 24, 33, 33, 15]",Predictability API Engine
Paolo Banchero,AST,30,4.7,82.21,High,"[4, 4, 8, 4, 6]",Predictability API Engine
Paolo Banchero,REB,30,7.43,80.92,High,"[6, 10, 18, 10, 4]",Predictability API Engine
Chet Holmgren,PTS,30,14.43,78.2,High,"[22, 20, 10, 14, 22]",Predictability API Engine
Chet Holmgren,AST,30,1.93,71.73,Medium,"[4, 1, 1, 2, 4]",Predictability API Engine
Chet Holmgren,REB,30,7.57,77.64,High,"[11, 4, 3, 4, 10]",Predictability API Engine
